TBI,Can you believe this fool; Dr. Thomas Frieden of CDC; just stated; "anyone with fever should be asked if they have been in West Africa" DOPE,2014-10-09,fool,TB
BCI,Politician @SenatorCardin didn't like that I said Baltimore needs jobs & spirit. It's politicians like Cardin that have destroyed Baltimore.,2015-06-24,It's politicians like Cardin that have destroyed Baltimore.,BC
NYI,For the nonbeliever; here is a photo of @Neilyoung in my office and his $$ request—total hypocrite. http://t.co/Xm4BJvetIa,2015-06-24,total hypocrite,NY
WGI,Uncomfortable looking NBC reporter Willie Geist calls me to ask for favors and then mockingly smiles when he is told of my high poll numbers,2015-06-25,uncomfortable looking,WG
JBI,Just out; the new nationwide @FoxNews poll has me alone in 2nd place; closely behind Jeb Bush-but Bush will NEVER Make America Great Again!,2015-06-25,will NEVER Make America Great Again,JB
MSI,The ratings for The View are really low. Nicole Wallace and Molly Sims are a disaster. Get new cast or just put it to sleep. Dead T.V.,2015-06-25,a disaster,MS
NWI,The ratings for The View are really low. Nicole Wallace and Molly Sims are a disaster. Get new cast or just put it to sleep. Dead T.V.,2015-06-25,a disaster,NW
LODI,I hear that dopey political pundit; Lawrence O'Donnell; one of the dumber people on television; is about to lose his show-no ratings?Too bad,2015-06-25,dopey political pundit,LOD
RSI,Governor Rick Scott of Florida did really poorly on television this morning. I hope he is O.K.,2015-06-25,did really poorly on television,RS
JRI,Once again the Bush appointed Supreme Court Justice John Roberts has let us down. Jeb pushed him hard! Remember!,2015-06-26,let us down,JR
NYDNI,.@NYDailyNews; the dying tabloid owned by dopey clown Mort Zuckerman; puts me on the cover daily because I sell. My honor; but it is dead!,2015-06-28,dying tabloid,NYDN
SAI,Saudi Arabia should be paying the United States many billions of dollars for our defense of them. Without us; gone! @AlWaleedbinT,2015-06-29,without us; gone!,SA
MI,I love the Mexican people; but Mexico is not our friend. They're killing us at the border and they're killing us on jobs and trade. FIGHT!,2015-06-30,not our friend,M
MYI,For all of those who want to #MakeAmericaGreatAgain; boycott @Macys. They are weak on border security & stopping illegal immigration.,2015-07-01,weak on border security,MY
GPI,.@GovernorPataki was a terrible governor of NY; one of the worst -- would’ve been swamped if he ran again!,2015-07-01,terrible governor of NY; one of the worst,GP
BOI,Obama once again just missed a self-imposed deadline with Iran. Our leadership is weak & ineffective. Double the sanctions!,2015-07-02,weak & ineffective,BO
JWI,.@TheJuanWilliams you never speak well of me & yet when I saw you at Fox you ran over like a child and wanted a picture,2015-07-03,you never speak well of me & yet when I saw you at Fox you ran over like a child and wanted a picture.,JW
PVI,Miss Universe; Paulina Vega; criticized me for telling the truth about illegal immigration; but then said she would keep the crown-Hypocrite,2015-07-05,hypocrite,PV
RPI,Rick Perry failed at the border. Now he is critical of me. He needs a new pair of glasses to see the crimes committed by illegal immigrants.,2015-07-05,needs a new pair of glasses,RP
CKI,Do you believe that highly overrated political pundit @krauthammer said this is the best Republican field in 35 years. What a dope!,2015-07-09,a dope,CK
GWBI,Jeb's brother George insisted on a $100000 fee and $20000 for a private jet to speak at a charity for severely wounded vets. Not nice!,2015-07-09,not nice!,GWB
COCI,Dummy writer @Clare_OC from failing @Forbes magazine works so hard to make such trivial license deals look important,2015-07-09,dummy writer,COC
FI,Dummy writer @Clare_OC from failing @Forbes magazine works so hard to make such trivial license deals look important,2015-07-09,failing,F
RI,Obama and Republicans are hollowing out our military. Now want to cut troop levels. Lowest level in over 20 years.,2015-07-09,hollowing out our military,R
CTI,Sleep eyes @ChuckTodd is killing Meet The Press. Isn't he pathetic? Love watching him fail!,2015-07-12,love watching him fail,CT
KRI,Why do people listen to clown @KarlRove on @FoxNews? Spent $430M & lost all races—a Bushy!,2015-07-15,clown,KR
PJI,I hear @pennjillette show on Broadway is terrible. Not surprised; boring guy (Penn). Without The Apprentice; show would have died long ago.,2015-07-16,boring guy,PJ
JMCI,.@SenJohnMcCain should be defeated in the primaries. Graduated last in his class at Annapolis--dummy!,2015-07-16,dummy,JMC
AHI,The liberal clown @ariannahuff told her minions at the money losing @HuffingtonPost to cover me as enterainment. I am #1 in Huff Post Poll.,2015-07-18,liberal clown,AH
CNNI,Ratings starved @CNN and @CNNPolitics does not cover me accurately. Why can't they get it right - it's really not that hard!,2015-07-18,does not cover me accurately,CNN
